255.684 ; 260.923 ; spk2
260.923 ; 261.246 ; None
261.246 ; 262.547 ; spk2
262.547 ; 262.902 ; None
262.902 ; 264.008 ; spk2
264.008 ; 264.535 ; None
264.535 ; 265.885 ; spk2
265.885 ; 266.942 ; None
266.942 ; 267.258 ; spk1
267.258 ; 268.701 ; spk2 spk1
268.701 ; 270.892 ; spk1
270.892 ; 271.387 ; None
271.387 ; 272.136 ; spk1
272.136 ; 272.955 ; spk1
272.955 ; 273.528 ; None
273.528 ; 275.895 ; spk1
275.895 ; 277.15 ; None
277.15 ; 279.307 ; spk1
279.307 ; 279.763 ; None
279.763 ; 280.984 ; spk1
280.984 ; 281.704 ; None
281.704 ; 282.646 ; spk1
282.646 ; 283.391 ; None
283.391 ; 285.429 ; spk1
285.429 ; 285.676 ; None
285.676 ; 286.362 ; spk1
286.362 ; 286.842 ; None
286.842 ; 287.932 ; spk2
287.932 ; 288.869 ; None
288.869 ; 289.611 ; spk2
289.611 ; 289.849 ; None
289.849 ; 291.094 ; spk2
291.094 ; 291.263 ; None
291.263 ; 293.845 ; spk2
293.845 ; 294.374 ; None
294.374 ; 299.679 ; spk2
299.679 ; 300.043 ; None
300.043 ; 300.268 ; spk2
300.268 ; 300.395 ; None
300.395 ; 300.786 ; spk2
300.786 ; 301.023 ; None
301.023 ; 302.135 ; spk2
302.135 ; 302.387 ; None
302.387 ; 302.861 ; spk2
302.861 ; 303.274 ; None
303.274 ; 303.875 ; spk2
303.875 ; 304.053 ; None
304.053 ; 304.832 ; spk2
304.832 ; 305.205 ; None
305.205 ; 307.197 ; spk2
307.197 ; 308.049 ; None
308.049 ; 309.338 ; spk2
309.338 ; 309.706 ; None
309.706 ; 314.334 ; spk1
314.334 ; 315.323 ; None
315.323 ; 317.503 ; spk1
317.503 ; 317.989 ; None
317.989 ; 319.881 ; spk1
319.881 ; 320.662 ; None
320.662 ; 321.872 ; spk1
321.872 ; 322.199 ; None
322.199 ; 323.065 ; spk1
323.065 ; 323.268 ; None
323.268 ; 324.305 ; spk1
324.305 ; 324.675 ; None
324.675 ; 327.235 ; spk1
327.235 ; 327.9 ; None
327.9 ; 332.241 ; spk1
332.241 ; 332.662 ; None
332.662 ; 333.836 ; spk1
333.836 ; 334.152 ; None
334.152 ; 335.013 ; spk1
335.013 ; 335.754 ; None
335.754 ; 341.621 ; spk2
341.621 ; 342.795 ; None
342.795 ; 343.753 ; spk1
343.753 ; 344.285 ; None
344.285 ; 345.376 ; spk1
345.376 ; 346.665 ; None
346.665 ; 347.517 ; spk1
347.517 ; 347.871 ; None
347.871 ; 349.804 ; spk1
349.804 ; 350.189 ; None
350.189 ; 350.541 ; spk1
350.541 ; 351.76 ; spk1
351.76 ; 352.056 ; None
352.056 ; 354.22 ; spk1
354.22 ; 354.611 ; None
354.611 ; 356.673 ; spk1
356.673 ; 357.112 ; None
357.112 ; 358.211 ; spk1
358.211 ; 358.889 ; None
358.889 ; 361.382 ; spk1
361.382 ; 362.355 ; None
362.355 ; 362.961 ; spk1
362.961 ; 363.259 ; None
363.259 ; 368.283 ; spk3
368.283 ; 368.74 ; None
368.74 ; 369.587 ; spk3
369.587 ; 369.787 ; None
369.787 ; 375.219 ; spk3
375.219 ; 375.517 ; None
375.517 ; 377.699 ; spk3
377.699 ; 378.724 ; None
378.724 ; 381.592 ; spk1
381.592 ; 382.319 ; None
382.319 ; 383.036 ; spk1
383.036 ; 383.722 ; None
383.722 ; 384.778 ; spk1
384.778 ; 385.007 ; None
385.007 ; 386.653 ; spk2
386.653 ; 386.892 ; None
386.892 ; 388.946 ; spk2
388.946 ; 389.221 ; None
389.221 ; 390.186 ; spk2
390.186 ; 390.402 ; None
390.402 ; 393.018 ; spk2
393.018 ; 393.239 ; None
393.239 ; 394.058 ; spk2
394.058 ; 394.366 ; None
394.366 ; 396.913 ; spk2
396.913 ; 397.173 ; None
397.173 ; 399.897 ; spk2
399.897 ; 403.752 ; spk2
403.752 ; 405.234 ; None
405.234 ; 407.727 ; spk1
407.727 ; 411.962 ; None
411.962 ; 416.342 ; spk1
416.342 ; 417.675 ; None
417.675 ; 418.654 ; spk1
418.654 ; 420.151 ; None
420.151 ; 422.202 ; spk1
422.202 ; 422.408 ; None
422.408 ; 423.412 ; spk1
423.412 ; 428.102 ; None
428.102 ; 429.976 ; spk1
429.976 ; 433.119 ; None
433.119 ; 434.334 ; spk1
434.334 ; 438.439 ; None
438.439 ; 443.615 ; spk1
443.615 ; 444.801 ; None
444.801 ; 448.373 ; spk1
448.373 ; 450.224 ; None
450.224 ; 451.135 ; spk1
451.135 ; 453.697 ; None
453.697 ; 455.143 ; spk1
455.143 ; 456.725 ; None
456.725 ; 457.884 ; spk1
457.884 ; 462.461 ; None
462.461 ; 464.307 ; spk1
464.307 ; 467.19 ; None
467.19 ; 467.941 ; spk1
467.941 ; 468.596 ; None
468.596 ; 470.169 ; spk1
470.169 ; 471.742 ; None
471.742 ; 472.631 ; spk1
472.631 ; 473.385 ; None
473.385 ; 478.147 ; spk1
478.147 ; 478.511 ; None
478.511 ; 480.291 ; spk1
480.291 ; 480.967 ; None
480.967 ; 481.948 ; spk1
481.948 ; 482.277 ; None
482.277 ; 482.974 ; spk1
482.974 ; 486.357 ; None
486.357 ; 487.003 ; spk1
487.003 ; 487.745 ; None
487.745 ; 490.449 ; spk1
490.449 ; 490.67 ; None
490.67 ; 491.415 ; spk1
491.415 ; 492.242 ; None
492.242 ; 494.112 ; spk1
494.112 ; 494.695 ; None
494.695 ; 495.831 ; spk1
495.831 ; 497.301 ; None
497.301 ; 498.087 ; spk1
498.087 ; 499.129 ; None
499.129 ; 503.243 ; spk1
503.243 ; 504.635 ; None
504.635 ; 506.343 ; spk1
506.343 ; 508.207 ; None
508.207 ; 511.242 ; spk1
511.242 ; 511.992 ; None
511.992 ; 513.236 ; spk1
513.236 ; 514.597 ; None
514.597 ; 515.773 ; spk1
515.773 ; 518.143 ; None
518.143 ; 519.89 ; spk1
519.89 ; 520.223 ; None
520.223 ; 520.658 ; spk1
520.658 ; 520.995 ; None
520.995 ; 521.319 ; spk1
521.319 ; 521.516 ; None
521.516 ; 521.852 ; spk1
521.852 ; 522.499 ; None
522.499 ; 526.453 ; spk1
526.453 ; 527.033 ; None
527.033 ; 528.013 ; spk1
528.013 ; 528.277 ; None
528.277 ; 529.441 ; spk1
529.441 ; 532.993 ; spk2
532.993 ; 533.317 ; None
533.317 ; 536.271 ; spk2
536.271 ; 536.557 ; None
536.557 ; 537.632 ; spk2
537.632 ; 537.933 ; None
537.933 ; 538.783 ; spk2
