3944.227 ; 3950.786 ; report ; to136
3950.786 ; 3953.93 ; report ; to137
3953.93 ; 3955.143 ; report ; to138
3955.143 ; 3957.682 ; report ; to139
3957.682 ; 4000.213 ; report ; to140
4000.213 ; 4059.389 ; report ; to141
4059.389 ; 4104.151 ; report ; to142
4104.151 ; 4129.967 ; report ; to144
4129.967 ; 4153.417 ; report ; to145
4153.417 ; 4177.892 ; report ; to146
4177.892 ; 4179.443 ; report ; to147
4179.443 ; 4190.761 ; report ; to148
4190.761 ; 4264.049 ; report ; to149
4264.049 ; 4354.714 ; report ; to150
4354.714 ; 4365.805 ; report ; to151
4365.805 ; 4369.715 ; report ; to152
4369.715 ; 4373.776 ; report ; to153
4373.776 ; 4426.508 ; report ; to154
4426.508 ; 4436.707 ; report ; to155
4436.707 ; 4452.129 ; report ; to156
4452.129 ; 4454.088 ; report ; to157
4454.088 ; 4465.292 ; report ; to158
4465.292 ; 4492.99 ; report ; to159
4492.99 ; 4497.888 ; report ; to160
4497.888 ; 4503.68 ; report ; to161
4503.68 ; 4512.854 ; report ; to162
4512.854 ; 4517.873 ; report ; to163
4517.873 ; 4551.559 ; report ; to164
4551.559 ; 4559.815 ; report ; to165
4559.815 ; 4585.234 ; report ; to166
4585.234 ; 4592.138 ; report ; to167
4592.138 ; 4596.558 ; report ; to168
4596.558 ; 4621.823 ; report ; to169
4621.823 ; 4673.337 ; report ; to170
4673.337 ; 4684.816 ; report ; to171
4684.816 ; 4721.512 ; report ; to172
4721.512 ; 4741.301 ; report ; to173
4741.301 ; 4752.474 ; report ; to174
4752.474 ; 4753.389 ; report ; to175
4753.389 ; 4765.217 ; report ; to176
4765.217 ; 4792.425 ; report ; to177
4792.425 ; 4905.606 ; report ; to178
4905.606 ; 4927.565 ; report ; to179
4927.565 ; 4932.468 ; report ; to180
4932.468 ; 4959.979 ; report ; to181
4959.979 ; 4997.061 ; report ; to182
4997.061 ; 5005.692 ; report ; to183
5005.692 ; 5051.55 ; report ; to184
5051.55 ; 5077.547 ; report ; to185
5077.547 ; 5082.184 ; report ; to186
5082.184 ; 5085.447 ; report ; to187
5085.447 ; 5129.236 ; report ; to188
5129.236 ; 5148.872 ; report ; to189
5148.872 ; 5156.439 ; report ; to190
5156.439 ; 5172.841 ; report ; to191
5172.841 ; 5216.891 ; report ; to192
5216.891 ; 5220.906 ; report ; to193
5220.906 ; 5225.38 ; report ; to194
5225.38 ; 5226.536 ; report ; to195
5226.536 ; 5229.624 ; report ; to196
5229.624 ; 5259.198 ; report ; to197
5259.198 ; 5267.532 ; report ; to198
5267.532 ; 5290.821 ; report ; to199
5290.821 ; 5295.069 ; report ; to200
5295.069 ; 5299.613 ; report ; to201
5299.613 ; 5311.326 ; report ; to202
