joueurs	émotion	texte		
Sébastien Chabal=Fr	espoir	2		
Sébastien Chabal=Fr	satisfaction	3		
Thierry Dusautoir=Fr;Sébastien Chabal=Fr		1		
Thierry Dusautoir=Fr;Sébastien Chabal=Fr;Dimitri Szarzewski=Fr		1		
Thierry Gilardi=Ot		24		
Thierry Gilardi=Ot	agacement	1		
Thierry Gilardi=Ot	regret	1		
Thierry Gilardi=Ot	satisfaction	1		
Thierry Gilardi=Ot;Fabrice Landreau=Ot		1		
Thierry Gilardi=Ot;Mario Ledesma=Ar		1		
Thierry Lacroix=Ot		4		
Thierry Lacroix=Ot	agacement	1		
Yannick Jauzion=Fr		11	14	21,43 %
Yannick Jauzion=Fr	admiration	1		
Yannick Jauzion=Fr	satisfaction	2		
Yannick Jauzion=Fr;Christophe Dominici=Fr		1		
Yannick Jauzion=Fr;Damien Traille=Fr		2		
				
				
			1	75,00 %
			2	54,55 %
			3	50,00 %
			4	43,75 %
			5	38,46 %
